Geography Open-Ended Questions||
Question|Focus|Mod
1950'den sonra dünya nüfusunun çok hızlı artmasının sebepleri nelerdir?|sebepleri|
Açık işletmelerden kömür çıkarılmasının çevresel etkileri nelerdir?|etkileri|çevresel
Adres sistemi ile coğrafi koordinatlar nasıl benzeşmektedir?|benzeşmektedir|
Ağaçlandırmanın, toprak erozyonu üzerinde nasıl etkileri vardır?|etkileri|
Akarsu aşındırmasının nasıl sonuçları vardır?|sonuçları|
Akarsu havzaları üzerine kurulan sanayi kuruluşları neden o bölgede sel riskini artırır?|artırır|
Akarsu rejimi ile iklimin nasıl bir ilgisi vardır?|ilgisi|
Akarsu sekisi nasıl oluşur?|oluşur|
Akarsu sekisinin oluşması için  hangi koşullar gereklidir?|koşullar|
Akarsu üzerinde hidroelektrik santral kurulurken nelere dikkat edilmelidir?|dikkat edilmelidir|
Akarsular denge profiline nasıl geçer?|geçer|
Akarsular fiziksel ayrışmayı nasıl etkiler?|etkiler|
Akarsular yer şekillerini nasıl etkiler?|etkiler|
Akarsuların aşındırma etkisinin ne gibi sonuçları vardır?|sonuçları|
Akarsuların biriktirme etkisinin ne gibi sonuçları vardır?|sonuçları|
Akarsuların hızı, akarsularda yaşayan canlı türlerini nasıl etkiler?|etkiler|
Akarsuların taşıdığı su miktarı yıl içinde nelere bağlı olarak değişir?|değişir|
Akdeniz kıyısındaki ülkelerin dünya turizmi açısından önemi nedir?|önemi|
Alçak basınç alanlarında hava genelde neden kapalıdır?|kapalıdır|
Alize rüzgarlarının yağış bırakan etkisi nasıl açıklanır?|açıklanır|
Alüminyum neden stratejik bir öneme sahiptir?|sahiptir|
Alüvyal topraklarda horizonların oluşmamasının sebepleri nelerdir?|sebepleri|
Alüvyon bakımından zengin olan toprakların avantajı nedir?|avantajı|
Ani iklim değişiklikleri neden gerçekleşir?|gerçekleşir|
Ankara neden iç anadolu bölgesindeki diğer illere göre daha fazla yağış alır?|yağış alır|daha fazla
Ankara’nın jeopolitik konumumun önemi nedir?|önemi|
Ankara'da buğday üretiminin çok fazla olması nasıl açıklanır?|açıklanır|
Ankara'da kerpiç ve taş evlerin fazla görülmemesinin sebebi nedir?|sebebi|
Ankara'da ormancılığın ilin kuzeyinde gelişmiş olması nasıl açıklanır?|açıklanır|
Ankara'da şeker pancarının fazlaca yetiştirilmesi bu bölgede hayvancılığa nasıl katkı sağlar?|katkı|
Ankara'da tarımsal verimin düşük olması, Ankaranın iklimi göz önüne alındığında nasıl açıklanır?|açıklanır|
Ankara'nın başkent seçilmesinin sebepleri nelerdir?|sebepleri|
Ankara'nın doğal bitki örtüsünün bozkır olmasının başlıca sebebi nedir?|sebebi|başlıca
Ankara'nın tarih boyunca çeşitli uygarlıklar tarafından başkent seçilmesinin nedenleri nelerdir?|nedenleri|
Arabistan levhasının Anadolu levhasını sıkıştırmasının sonuçları nelerdir?|sonuçları|
Arazi yetenek sınıflandırması nasıl yapılır?|yapılır|
Arazilerden neden verimli şekilde faydalananılmalıdır?|faydalanılmalıdır|
Arazilerin hatalı kullanımı neden sel felaketine sebep olur?|sebep olur|
Arıcılığın ekonomik açıdan nasıl bir önemi vardır?|önemi|
Arıların ekosistem açısından önemi nedir?|önemi|
Aşırı nüfus nasıl sorunlara yol açar?|sorunlara|
Aşırı su kullanımı yer altı su seviyesini nasıl etkiler?|etkiler|
Asit yağmurları nasıl oluşur?|oluşur|
Asit yağmurları ormanları nasıl etkiler?|etkiler|
Asit yağmurlarını önlemek için nasıl önlemler alınmalıdır?|önlemler|
Asit yağmurlarının oluşmasının sebepleri nelerdir?|sebepleri|
Asit yağmurunun sonuçları nelerdir?|sonuçları|
Ateşin bulunması insanların yaşamında nasıl değişikliklere sebep olmuştur?|değişikliklere|
Atıkların çevre sağlığı üzerindeki etkileri nelerdir?|etkileri|
Atıkların geri dönüşümü çevre sorunlarını nasıl etkiler?|etkiler|
Atıkların insan sağlığı üzerindeki etkileri nelerdir?|etkileri|
Atmosfer dünyayı meteorlardan nasıl korumaktadır?|korumaktadır|
Atmosfer dünyayı meteorlardan nasıl korur?|korur|
Atmosfer güneşten gelen zararlı ışınları nasıl engeller?|engeller|
Atmosfer güneşten gelen zararlı ışınları nasıl süzer?|süzer|
Atmosfer ile sıcaklık dengesi arasında nasıl bir bağ vardır?|bağ|
Atmosfer yerkürenin aşırı ısınmasını nasıl önler?|önler|
Atmosferde en fazla azot değil, oksijen gazı olsaydı ne olurdu?|olurdu|
Atmosferdeki gaz miktarının artması hava basıncını nasıl etkiler?|etkiler|
Atmosferdeki gaz oranlarının değişmesi canlıları nasıl etkiler?|etkiler|
Atmosferdeki gaz oranlarının değişmesi nelere yol açar?|yol açar|
Atmosferdeki karbondioksit gazının azalması nelere yol açar?|yol açar|
Atmosferdeki nem sıcaklığı nasıl etkiler?|etkiler|
Atmosferdeki nemin kaynağı nedir?|kaynağı|
Atmosferdeki ozon gazının görevi nedir?|görevi|
Avrupa Birliği üyeliğinin Türkiyeye getireceği avantajlar nelerdir?|avantajlar|
Avrupa birliğinin kuruluş amacı nedir?|kuruluş amacı|
Aydınlanma çemberi yıl boyunca neden kutup noktalarıyla kutup daireleri arasında yer değiştirir?|yer değiştirir|
Ayın dünya üzerindeki çekim gücü neden güneşinkinden daha fazladır?|fazladır|daha
Ayın dünyanın etrafında dönmesinin sonunçları nelerdir?|sonuçları|
Aynı anda iki yarım kürede farklı mevsimler yaşanmasının sonuçları nelerdir?|sonuçları|
Azot bitkiler tarafından nasıl kullanılır?|kullanılır|
Azot döngüsü nasıl gerçekleşir?|gerçekleşir|
Bakır günlük hayatta nasıl bir yere sahiptir?|yere|
Bakırın çok kullanılan bir maden olmasının sebepleri nelerdir?|sebepleri|
Barajlar su döngüsünü nasıl etkiler?|etkiler|
Barajların görevleri nelerdir?|görevleri|
Barit madeninin günlük hayat için önemi nedir?|önemi|
Basınç değişimi ve dağılışını temel olarak ne belirler?|belirler|
Batman'da petrol bulunması yaşamı nasıl etkilemiştir?|etkilemiştir|
Bayrak bir ulus için neden önemlidir?|önemlidir|
Beşeri faktörler doğal afetleri nasıl etkiler?|etkiler|
Beşeri faktörler yerleşmeyi nasıl etkilemektedir?|etkilemektedir|
Besin kirlenmenin sonuçları nelerdir?|sonuçları|
Besin kirlenmesi nasıl olur?|olur|
Besin kirlenmesinde etkili olan faktörler nelerdir?|faktörler|
Besin kirlenmesinin önüne geçmek için neler yapmak gerekir?|yapmak gerekir|
Besin zincirinde insanların en üstte olmasının sebebi nedir?|sebebi|
Betonlaşma yer altı su seviyesini nasıl etkiler?|etkiler|
Beyin göçünün o ülkenin teknolojik gelişmişliği ile nasıl bir ilişkisi vardır?|ilişkisi|
Beyin göçünün ülkeler üzerinde nasıl etkileri vardır?|etkileri|
Bir akarsuda büklümlerin çok olması akarsuyun aktığı bölge hakkında hangi bilgileri verir?|bilgileri|
Bir akarsuyun akış katsayısı nasıl hesaplanır?|hesaplanır|
Bir bölgede akarsu biriktirmesinin fazla olmasının o bölgeye etkileri nasıldır?|etkileri|
Bir bölgede buğday üretimi fazlaysa nasıl sanayi kuruluşları görülür?|sanayi kuruluşları|
Bir bölgede buğday üretimi fazlaysa o bölgenin iklimi hakkında neler söylenebilir?|söylenebilir|
Bir bölgede kalıcı kar sınırının deniz seviyesine yakın olması, o bölgenin iklimi hakkında nasıl bir bilgi verir?|bilgi|
Bir bölgede karstik şekiller fazla görülüyorsa, o bölgenin toprak yapısı hakkında neler söylenebilir?|söylenebilir|
Bir bölgede mısır üretimi fazlaysa nasıl sanayi kuruluşları görülür?|sanayi kuruluşları|
Bir bölgede mısır üretimi fazlaysa o bölgenin iklimi hakkında neler söylenebilir?|söylenebilir|
Bir bölgede pamuk üretimi fazlaysa nasıl sanayi kuruluşları görülür?|sanayi kuruluşları|
Bir bölgede pamuk üretimi fazlaysa o bölgenin iklimi hakkında neler söylenebilir?|söylenebilir|
Bir bölgede petrol üretiminin fazla olması o bölgedeki ticari faaliyetleri nasıl etkiler?|etkiler|
Bir bölgede sanayinin gelişmişliği üretimi nasıl etkiler?|etkiler|
Bir bölgedeki gelir düzeyi oradaki ekonomik faaliyetleri nasıl etkiler?|etkiler|
Bir bölgedeki sıcaklık ortalaması ile o bölgenin turizm gelirleri arasındaki ilişki nasıl açıklanabilir?|açıklanabilir|
Bir bölgedeki ulaşım imkanları sanayiyi nasıl etkiler?|etkiler|
Bir bölgenin tarih boyunca pek çok uygarlığa tanıklık etmiş olması o bölgeye neler kazandırır?|kazandırır|
Bir bölgenin yüksekliği ile sıcaklık ortalaması arasında nasıl bir ilişki vardır?|ilişki|
Bir çok şirketin kendi ülkelerinden başka ülkelere yatırım yapmasının sebebi nedir?|sebebi|
Bir denizin tuzluluğu ile o bölgenin sıcaklığı arasında nasıl bir bağ vardır?|bağ|
Bir ilde havaalanı bulunması o ilin ticari gelişimine nasıl katkı sağlar?|katkı|
Bir kıyı bölgesinde delta ovaları fazlaysa, o bölgede yaşanan gelgit olayları hakkında ne söylenebilir?|söylenebilir|
Bir merkezde havadaki nem miktarının artması nelere yol açar?|yol açar|
Bir sahil yöresinde mercan kayalarının ve mercan adalarının fazla olması o yöreye nasıl yarar sağlar?|yarar sağlar|
Bir şehirde eğitim olanaklarının fazla olması o şehrin nüfusunu nasıl etkiler?|etkiler|
Bir şehirdeki ekonomik faaliyetler üzerinde etkili olan faktörler nelerdir?|faktörler|
Bir şehrin ticari öneme sahip olması o şehrin nüfusunu nasıl etkiler?|etkiler|
Bir ülkede bağımlı nüfusun artmasının olumsuz etkileri nelerdir?|etkileri|olumsuz
Bir ülkede dağ eteği ovalarının fazla sayıda olması bize o ülke hakkında nasıl bir bilgi verir?|bilgi|
Bir ülkede delta ovalarının fazla sayıda olması bize o ülke hakkında nasıl bir bilgi verir?|bilgi|
Bir ülkede genç nüfusun artmasının avantajları nelerdir?|avantajları|
Bir ülkede mekanlar arası gelişmişlik farkının olmasının sebebleri nelerdir?|sebepleri|
Bir ülkede nüfus artış hızının düşmesinde etkili olan faktörler nelerdir?|faktörler|
Bir ülkenin ekonomik gücü tarım sektörünün verimliliğinde ne kadar önemlidir?|kadar|
Bir ülkenin jeopolitiğini oluşturan ana unsurlar nelerdir?|unsurlar|ana
Bir yamacın bakı durumunda olması ile bitki örtüsü arasında nasıl bir ilişki vardır?|ilişki|
Bir yerin coğrafi özellikleri, o bölgenin beşeri özelliklerini nasıl etkiler?|etkiler|
Bir yerin yükseltisinin fazla olması orada yerleşimi nasıl etkiler?|etkiler|
Bir yörede balıkçılığın gelişmiş olması, bölgenin doğal kaynakları konusunda bize nasıl bir bilgi verir?|bilgi|
Bir yörede turizmin etkinliğinin fazla olması o yörenin ticari gelişimini nasıl etkiler?|etkiler|
Birikinti konisine nasıl topraklarda rastlanır?|topraklarda|
