23 Eylül, Kuzey yarým kürede hangi mevsimin baþlangýcýdýr|hangi mevsimin||TEMPORAL|SEASON|Sonbahar
Akarsu aþýndýrmasý sonucunda meydana gelen deniz seviyesine yakýn, hafif dalgalý düzlüklere ne denir|düzlüklere denir||DESCRIPTION|DEFINITION|Yontukdüz/Peneplen
Akarsularýn taþýyarak oluþturduklarý topraklara ne ad verilir|topraklara ad||DESCRIPTION|DEFINITION|Alüvyal Topraklar.
Akarsuyun denize döküldüðü yere ne denir|yere denir||DESCRIPTION|DEFINITION|Akarsu aðzý
Akarsuyun doðduðu yere ne ad verilir|yere ad||DESCRIPTION|DEFINITION|Akarsu kaynaðý
Atmosferin en alt katmanýnda hangi tabaka vardýr|hangi tabaka||ENTITY|OTHERS|Troposfer
Bakteriler ilk olarak hangi jeolojik zamanda ortaya çýkmýþtýr|hangi jeolojik zamanda||TEMPORAL|ERA|Ýlkel Zaman/Prekambriyen/Antekambriyen
Bir akarsuyun kollarý ile birlikte oluþturduðu sisteme ne denir|sisteme denir||DESCRIPTION|DEFINITION|Akarsu aðý
Bir akarsuyun kollarý ile birlikte sularýnýn toplandýðý ve ya boþaltýldýðý alana ne denir|alana denir||DESCRIPTION|DEFINITION|Akarsu havzasý
Birleþmiþ Milletler Nüfus Vakfý’nýn kýsa adý nedir|Nüfus Vakfýnýn adý||ABBREVIATION|ABBREVIATION|UNEPA
Bitki ve hayvan topluluklarýný inceleyen bilim dalý nedir|bilim dalý||DESCRIPTION|DEFINITION|Biyocoðrafya
Biyosfer'in diðer adý nedir|Biyosferin adý||ENTITY|OTHERS|Canlý Küre/Canlýlar Küresi/Canlý Yüzey
Biyosferi, ultraviyole ýþýnlarýnýn zararlarýndan koruyan gaz hangisidir|gaz||ENTITY|SUBSTANCE|Ozon
Bofor ölçeði neyin þiddetinin ölçülmesinde kullanýlýr|neyin þiddetinin||ENTITY|ENTITY|Rüzgâr
Canlýlarýn üzerinde yaþadýðý katman hangisidir|katman||ENTITY|OTHERS|Litosfer/Yer kabuðu
Çarþamba deltasýný oluþturan akarsu hangisidir|akarsu||ENTITY|RIVER|Yeþilýrmak
Çayýr ve otlaklarýn en fazla olduðu bölgemiz hangisidir|bölgemiz||LOCATION|REGION.LOCAL|Doðu Anadolu
Coðrafi keþifler hangi yüzyýlda baþlamýþtýr|hangi yüzyýlda||TEMPORAL|CENTURY|15.Yüzyýl
Coðrafi keþiflerin baþlamasýna hangi icat olanak saðlamýþtýr|hangi icat||ENTITY|INSTRUMENT|Pusula
Cumhuriyetten Sonra ilk nüfus sayýmý ne zaman yapýlmýþtýr|ne zaman yapýlmýþtýr||TEMPORAL|DATE|28 Ekim 1927
Dev kazaný hangi dýþ güç tarafýndan oluþturulur|hangi dýþ güç||ENTITY|ENTITY|Akarsu
Dünyada ilk modern manada nüfus sayýmlarý nerede yapýlmýþtýr|nerede yapýlmýþtýr||LOCATION|COUNTRY|Ýskandinav Ülkelerinde
Dünyada nüfusun en az olduðu kýta hangisidir|kýta||LOCATION|CONTINENT|Okyanusya
Dünyada nüfusun en çok olduðu kýta hangisidir|kýta||LOCATION|CONTINENT|Asya
Dünyanýn nüfusu ne kadardýr|nüfusu ne kadardýr||NUMERIC|SIZE.POPULATION|Yaklaþýk 7 Milyar
Ege Denizi hangi jeolojik zamanda oluþmuþtur|hangi jeolojik zamanda||TEMPORAL|ERA|IV.Zaman/Kuaterner
Göçlerin en önemli nedeni nedir|Göçlerin nedeni||DESCRIPTION|REASON|Ekonomik faktörlerdir
Göllerin fazla sularýný boþaltan akarsulara ne denir|akarsulara denir||DESCRIPTION|DEFINITION|Gideðen/göl ayaðý
Gönüllü göçler üzerinde etkili olan faktörlere ne isim verilir|faktörlere isim||DESCRIPTION|DEFINITION|Çekici faktörler
Haritalarýn küçültme oranýna ne denir|Haritalarýn küçültme oranýna denir||DESCRIPTION|DEFINITION|Ölçek
Ýç kuvvetlerin etkisiyle yeryüzünde oluþan hareketlerin adý nedir|hareketlerin adý||DESCRIPTION|DEFINITION|Tektonik hareket
Ýçerisinde bitki ve hayvan fosili bulunduran kayaç hangisidir|kayaç||ENTITY|ENTITY|Kýrýntý tortul kayaçlar
Ýki akarsu havzasýný birbirinden ayýran sýnýra ne ad verilir|sýnýra ad||DESCRIPTION|DEFINITION|Su bölümü çizgisi
Ýlk evcilleþtirilen hayvan hangisidir|hayvan||ENTITY|OTHERS|Köpek
Ýlk para kullanýmý hangi uygarlýk döneminde olmuþtur|hangi uygarlýk döneminde||ENTITY|OTHERS|Lidyalýlar
Ýlk þehir yerleþmeleri hangi çaðda görülür|hangi çaðda||TEMPORAL|ERA|Maden çaðý/Kalkolitik çað
Ýmparatorluklar ilk olarak hangi çaðda kurulmuþtur|hangi çaðda||TEMPORAL|ERA|Maden Çaðý/Kalkolitik Çað
Ýstanbul Boðazý hangi jeolojik dönemde oluþmuþtur|hangi jeolojik dönemde||TEMPORAL|ERA|IV. Zaman/Antropozoik/Kuvaterner
Ýstanbul'da güneydoðudan esen rüzgâra ne ad verilir|rüzgâra ad||ENTITY|WIND|Keþiþleme
Kara ve denizlerde düþey doðrultudaki alçalma yükselme hareketlerine ne denir|alçalma yükselme hareketlerine denir||DESCRIPTION|DEFINITION|Epirojenez
Karstik maðaralarda oluþan sarkýt ve dikitler hangi kayaç türlerindendir|hangi kayaç türlerindendir||ENTITY|ENTITY|Kimyasal tortul kayaç
Kavimler göçü hangi yýllar arasýnda olmuþtur|hangi yýllar arasýnda||TEMPORAL|PERIOD|350/800
Kýlýçkaya barajý hangi ýrmaðýn üzerinde yer almakatadýr|hangi ýrmaðýn||ENTITY|RIVER|Yeþilýrmak
Kýta bölünmeleri hangi jeolojik zamanda baþlamýþtýr|hangi jeolojik zamanda||TEMPORAL|ERA|II. zaman/Mezezoik
Köpek hangi çaðda evcilleþtirilmiþtir|hangi çaðda||TEMPORAL|ERA|Mezolitik Çað/orta taþ çaðý
Lavlarýn ve tüflerin yeryüzüne çýkmak için izledikleri yola ne ad verilir|yola ad||DESCRIPTION|DEFINITION|Volkan bacasý
Mendereslerde aþýnma kýsmýna ne ad verilir|aþýnma kýsmýna ad||DESCRIPTION|DEFINITION|Çaprak
Mendereslerde biriktirme kýsmýna ne ad verilir|biriktirme kýsmýna ad||DESCRIPTION|DEFINITION|Yýðýnak
Nil Deltasý hangi ülkenin sýnýrlarý içerisindedir|hangi ülkenin||LOCATION|COUNTRY|Mýsýr
Ormanlarýn tahrip edilmesi sonucu oluþan bozkýrlara ne denir|bozkýrlara denir||DESCRIPTION|DEFINITION|Antropojen Bozkýr
Ozon oluþumu hangi katmanda oluþur|hangi katmanda||ENTITY|OTHERS|Mezosfer- Ozonosfer
Pamukkale travertenleri hangi ilin sýnýrlarý içerisindedir|hangi ilin||LOCATION|CITY|Denizli
Patamoloji nedir|Patamoloji||DESCRIPTION|DEFINITION|Akarsu bilimi
Rotterdam hangi ülkenin þehridir|hangi ülkenin||LOCATION|COUNTRY|Hollanda
Rüzgârlarýn taþýyarak oluþturduklarý topraklara ne ad verilir|topraklara ad||DESCRIPTION|DEFINITION|Lös topraklar
Sakarya nehri hangi denize dökülür|hangi denize||ENTITY|SEA|Karadeniz
Sanayi Ýnkýlâbý ilk olarak hangi ülkede baþlamýþtýr|hangi ülkede||LOCATION|COUNTRY|Ýngiltere
Sýcak su kaynaklarýndan yararlanýlarak elektrik enerjisi üreten santrallere nedir|santraller||DESCRIPTION|DEFINITION|Jeotermal Santraller
Soma ovasýný sulayan ýrmaðýn adý nedir|ýrmaðýn adý||ENTITY|RIVER|Bakýrçay
Susurluk çayýnýn diðer adý nedir|Susurluk çayýnýn adý||ENTITY|RIVER|Simav çayý
