23 Eylül, Kuzey yarım kürede hangi mevsimin başlangıcıdır|hangi mevsimin||TEMPORAL|SEASON|Sonbahar
Akarsu aşındırması sonucunda meydana gelen deniz seviyesine yakın, hafif dalgalı düzlüklere ne denir|düzlüklere denir||DESCRIPTION|DEFINITION|Yontukdüz/Peneplen
Akarsuların taşıyarak oluşturdukları topraklara ne ad verilir|topraklara ad||DESCRIPTION|DEFINITION|Alüvyal Topraklar.
Akarsuyun denize döküldüğü yere ne denir|yere denir||DESCRIPTION|DEFINITION|Akarsu ağzı
Akarsuyun doğduğu yere ne ad verilir|yere ad||DESCRIPTION|DEFINITION|Akarsu kaynağı
Atmosferin en alt katmanında hangi tabaka vardır|hangi tabaka||ENTITY|OTHERS|Troposfer
Bakteriler ilk olarak hangi jeolojik zamanda ortaya çıkmıştır|hangi jeolojik zamanda||TEMPORAL|ERA|İlkel Zaman/Prekambriyen/Antekambriyen
Bir akarsuyun kolları ile birlikte oluşturduğu sisteme ne denir|sisteme denir||DESCRIPTION|DEFINITION|Akarsu ağı
Bir akarsuyun kolları ile birlikte sularının toplandığı ve ya boşaltıldığı alana ne denir|alana denir||DESCRIPTION|DEFINITION|Akarsu havzası
Birleşmiş Milletler Nüfus Vakfı’nın kısa adı nedir|Nüfus Vakfının adı||ABBREVIATION|ABBREVIATION|UNEPA
Bitki ve hayvan topluluklarını inceleyen bilim dalı nedir|bilim dalı||DESCRIPTION|DEFINITION|Biyocoğrafya
Biyosfer'in diğer adı nedir|Biyosferin adı||ENTITY|OTHERS|Canlı Küre/Canlılar Küresi/Canlı Yüzey
Biyosferi, ultraviyole ışınlarının zararlarından koruyan gaz hangisidir|gaz||ENTITY|SUBSTANCE|Ozon
Bofor ölçeği neyin şiddetinin ölçülmesinde kullanılır|neyin şiddetinin||ENTITY|ENTITY|Rüzgâr
Canlıların üzerinde yaşadığı katman hangisidir|katman||ENTITY|OTHERS|Litosfer/Yer kabuğu
Çarşamba deltasını oluşturan akarsu hangisidir|akarsu||ENTITY|RIVER|Yeşilırmak
Çayır ve otlakların en fazla olduğu bölgemiz hangisidir|bölgemiz||LOCATION|REGION.LOCAL|Doğu Anadolu
Coğrafi keşifler hangi yüzyılda başlamıştır|hangi yüzyılda||TEMPORAL|CENTURY|15.Yüzyıl
