23 Eylül, Kuzey yarım kürede hangi mevsimin başlangıcıdır|mevsimin||TEMPORAL|SEASON|Sonbahar
Akarsu aşındırması sonucunda meydana gelen deniz seviyesine yakın, hafif dalgalı düzlüklere ne denir|düzlüklere|hafif dalgalı|DESCRIPTION|DEFINITION|Yontukdüz/Peneplen
Akarsuların taşıyarak oluşturdukları topraklara ne ad verilir|topraklara|taşıyarak oluşturdukları|DESCRIPTION|DEFINITION|Alüvyal Topraklar.
Akarsuyun denize döküldüğü yere ne denir|yere|denize döküldüğü|DESCRIPTION|DEFINITION|Akarsu ağzı
Akarsuyun doğduğu yere ne ad verilir|yere|doğduğu|DESCRIPTION|DEFINITION|Akarsu kaynağı
Atmosferin en alt katmanında hangi tabaka vardır|tabaka||ENTITY|OTHERS|Troposfer
Bakteriler ilk olarak hangi jeolojik zamanda ortaya çıkmıştır|jeolojik zamanda||TEMPORAL|ERA|İlkel Zaman/Prekambriyen/Antekambriyen
Bir akarsuyun kolları ile birlikte oluşturduğu sisteme ne denir|sisteme|kolları ile birlikte oluşturduğu|DESCRIPTION|DEFINITION|Akarsu ağı
Bir akarsuyun kolları ile birlikte sularının toplandığı ve ya boşaltıldığı alana ne denir|alana|boşaltıldığı|DESCRIPTION|DEFINITION|Akarsu havzası
Birleşmiş Milletler Nüfus Vakfı’nın kısa adı nedir|Nüfus Vakfının adı|kısa|ABBREVIATION|ABBREVIATION|UNEPA
Bitki ve hayvan topluluklarını inceleyen bilim dalı nedir|bilim dalı|inceleyen|DESCRIPTION|DEFINITION|Biyocoğrafya
Biyosfer'in diğer adı nedir|Biyosferin adı|diğer|ENTITY|OTHERS|Canlı Küre/Canlılar Küresi/Canlı Yüzey
Biyosferi, ultraviyole ışınlarının zararlarından koruyan gaz hangisidir|gaz|ultraviyole ışınlarının zararlarından koruyan |ENTITY|SUBSTANCE|Ozon
Bofor ölçeği neyin şiddetinin ölçülmesinde kullanılır|Bofor ölçeği kullanılır||ENTITY|ENTITY|Rüzgâr
Canlıların üzerinde yaşadığı katman hangisidir|katman|üzerinde yaşadığı|ENTITY|OTHERS|Litosfer/Yer kabuğu
Çarşamba deltasını oluşturan akarsu hangisidir|akarsu|oluşturan|ENTITY|RIVER|Yeşilırmak
Çayır ve otlakların en fazla olduğu bölgemiz hangisidir|bölgemiz|en fazla|LOCATION|REGION.LOCAL|Doğu Anadolu
Coğrafi keşifler hangi yüzyılda başlamıştır|yüzyılda||TEMPORAL|CENTURY|15.Yüzyıl
Coğrafi keşiflerin başlamasına hangi icat olanak sağlamıştır|icat||ENTITY|INSTRUMENT|Pusula
Cumhuriyetten Sonra ilk nüfus sayımı ne zaman yapılmıştır|zaman yapılmıştır|ilk|TEMPORAL|DATE|28 Ekim 1927
Dev kazanı hangi dış güç tarafından oluşturulur|dış güç|dış güç|ENTITY|ENTITY|Akarsu
Dünyada ilk modern manada nüfus sayımları nerede yapılmıştır|nüfus sayımları yapılmıştır|ilk modern manada|LOCATION|COUNTRY|İskandinav Ülkelerinde
Dünyada nüfusun en az olduğu kıta hangisidir|kıta|en az olduğu|LOCATION|CONTINENT|Okyanusya
Dünyada nüfusun en çok olduğu kıta hangisidir|kıta|en çok olduğu|LOCATION|CONTINENT|Asya
Dünyanın nüfusu ne kadardır|nüfusu||NUMERIC|SIZE.POPULATION|Yaklaşık 7 Milyar
Ege Denizi hangi jeolojik zamanda oluşmuştur|jeolojik zamanda||TEMPORAL|ERA|IV.Zaman/Kuaterner
Göçlerin en önemli nedeni nedir|Göçlerin nedeni|en önemli|DESCRIPTION|REASON|Ekonomik faktörlerdir
Göllerin fazla sularını boşaltan akarsulara ne denir|akarsulara|fazla sularını boşaltan|DESCRIPTION|DEFINITION|Gideğen/göl ayağı
Gönüllü göçler üzerinde etkili olan faktörlere ne isim verilir|faktörlere|etkili olan|DESCRIPTION|DEFINITION|Çekici faktörler
Haritaların küçültme oranına ne denir|Haritaların küçültme oranına||DESCRIPTION|DEFINITION|Ölçek
İç kuvvetlerin etkisiyle yeryüzünde oluşan hareketlerin adı nedir|hareketlerin adı|oluşan|DESCRIPTION|DEFINITION|Tektonik hareket
İçerisinde bitki ve hayvan fosili bulunduran kayaç hangisidir|kayaç|bitki ve hayvan bulunduran|ENTITY|ENTITY|Kırıntı tortul kayaçlar
İki akarsu havzasını birbirinden ayıran sınıra ne ad verilir|sınıra|birbirinden ayıran|DESCRIPTION|DEFINITION|Su bölümü çizgisi
İlk evcilleştirilen hayvan hangisidir|hayvan|evcilleştirilen|ENTITY|OTHERS|Köpek
İlk para kullanımı hangi uygarlık döneminde olmuştur|uygarlık döneminde||ENTITY|OTHERS|Lidyalılar
İlk şehir yerleşmeleri hangi çağda görülür|çağda||TEMPORAL|ERA|Maden çağı/Kalkolitik çağ
İmparatorluklar ilk olarak hangi çağda kurulmuştur|çağda||TEMPORAL|ERA|Maden Çağı/Kalkolitik Çağ
İstanbul Boğazı hangi jeolojik dönemde oluşmuştur|jeolojik dönemde||TEMPORAL|ERA|IV. Zaman/Antropozoik/Kuvaterner
İstanbul'da güneydoğudan esen rüzgâra ne ad verilir|rüzgâra|esen|ENTITY|WIND|Keşişleme
Kara ve denizlerde düşey doğrultudaki alçalma yükselme hareketlerine ne denir|alçalma yükselme hareketlerine|düşey doğrultudaki|DESCRIPTION|DEFINITION|Epirojenez
Karstik mağaralarda oluşan sarkıt ve dikitler hangi kayaç türlerindendir|kayaç türlerindendir||ENTITY|ENTITY|Kimyasal tortul kayaç
Kavimler göçü hangi yıllar arasında olmuştur|yıllar arasında||TEMPORAL|PERIOD|350/800
