Biology Factoid Questions|||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer
45 kromozomlu, X0 eşey kromozomuna sahip, üreme organları ve yumurtalıkları körelmiş olan dişilerde görülen anormalliğe ne ad verilir?|anormalliğe||ENTITY|DISEASE|Turner Sendromu  
47 kromozomlu,  XXY eşey kromozomuna sahip erkek bireylerde görülen anormalliğe ne ad verilir?|anormalliğe||ENTITY|DISEASE|Klinefelter Sendromu  
47 kromozomlu, XXX eşey kromozomuna sahip olan dişilerde görülen anormalliğe ne ad verilir?|anormalliğe||ENTITY|DISEASE|Süper Dişi  
A bandının ortasında sadece miyozin iplikçiklerinin bulunduğu açık renkli görünen şerit şeklindeki kısma ne ad verilir?|kısma||DESCRIPTION|DEFINITION|H bandı 
A kan grubuna sahip bir kişinin alyuvarında hangi antijen vardır?|antijen||ENTIRY|CELL.TYPE|A antijeni  
A kan grubuna sahip bir kişinin plazmasında hangi antikor vardır?|antikor||ENTIRY|CELL.TYPE|Anti- B 
A vitamini eksikliğinde oluşan görme bozukluğuna ne ad verilir?|görme bozukluğuna||ENTITY|DISEASE|gece körlüğü
AB kan grubuna sahip bir kişinin alyuvarında hangi antijen vardır?|antijen||ENTIRY|CELL.TYPE|yoktur
AB kan grubuna sahip bir kişinin plazmasında hangi antikor vardır?|antikor||ENTIRY|CELL.TYPE|Anti- A ve Anti- B 
Açık dolaşım yapan omurgasızların vücut sıvılarına ne ad verilir?|vücut sıvılarına||ENTITY|SYNTHESIZED|hemolenf 
Açık tohumlu bitki çiçeklerine ne ad verilir?|bitki çiçeklerine|açık tohumlu|ENTITY|SECTION.PLANT|kozalak
Ağız boşluğu, burun boşluğu, yemek ve soluk borusu arasındaki geçitte hangi sindirim organı bulunur?|sindirim organı||ENTITY|SECTION.ANIMAL|yutak
Ağızda başlayıp ince bağırsakta son bulan sindirim türü nedir?|sindirim türü||ENTITY|PROCESS.ANIMAL|kimyasal sindirim  
Ağızda öğütülen besinleri yemek borusuna iletmek hangi sindirim organının görevidir?|sindirim organının||ENTITY|SECTION.ANIMAL|yutak
Ağzın devamlı nemli kalmasını, besinlerin kayganlaşmasını, ağızda karbonhidratların kimyasal sindiriminin başlamasını sağlayan, amilaz ve mukustan oluşan yapı nedir?|yapı||ENTITY|SYNTHESIZED|tükürük
Ahududu, çilek, dut, böğürtlen, ananas gibi meyveler hangi meyve türüne örnektir?|meyve türüne||ENTITY|PLANT.STRUCTURE|bileşik meyve  
