Biology Open-Ended Questions||
Question|Focus|Mod
A kan grubundan bir anne ile B kan grubundan bir babanın 0 kan grubundan bir çocukları doğmuşsa anne babanın genotipleri nedir?|genotipleri|
A ve D vitaminin ortak özellikleri nelerdir?|özellikleri|ortak
A vitamini eksikliğinde ortaya çıkabilecek hastalıklar nelerdir?|hastalıklar|
A vitaminin görevi nedir?|görevi|
Abiyotik faktörlerin hangilerinin azalması üretici canlıları olumsuz etkiler?|abiyotik faktörlerin|
Abiyotik fatörler nelerdir?|faktörler|
Açık tohumlu bitkilerde üreme nasıl gerçekleşir?|gerçekleşir|
Açık tohumlu bitkilere örnekler nelerdir?|örnekler|
Açık tohumlu bitkilerin özellikleri nelerdir?|özellikleri|
Afrika uyku hastalığı hangi yollarla bulaşır?|yollarla|
Ağsı damarlanma gösteren bitkiler nelerdir?|bitkiler|
AIDS hastalığının bulaşma yöntemleri nelerdir?|bulaşma yöntemleri|
Akraba evliliklerinin olsaı riskleri nelerdir?|riskleri|olası
Akşamsafası bitkisinin yapraklarının gece  açıkken gündüz kapalı olmasının sebebi nedir?|sebebi|
Aktif bağışıklığa örnekler nelerdir?|örnekler|
Aktif bağışıklık nedir?|aktif bağışıklık|
Aldosteron hormonunun vücuttaki sıvı kaybına etkisi nedir?|etkisi|
Aleller arasındaki dominantlığın derecesi nasıl ölçülür?|ölçülür|
Alışma yoluyla edinilmiş davranışlar nelerdir?|davranışlar|
Aminoasitlerin özellikleri nelerdir?|özellikleri|
Antagonist kaslar nasıl çalışır?|çalışır|
Antibiyotiklerin etki mekanizması nasıldır?|etki mekanizması|
Antikorların özellikleri nelerdir?|özellikleri|
Arkebakteriler nasıl ortamlarda yaşarlar?|ortamlarda|
Arkebakterilerin özellikleri nelerdir?|özellikleri|
Arkebakterilerin, bakterilerden ayrılmasını sağlayan özellikler nelerdir?|özellikler|
Aşı ile serum arasındaki farklar nelerdir?|farklar|
Asitlerin hücredeki görevleri nelerdir?|görevleri|
Atardamarlar ile toplardamar arasındaki yapısal farklılıklar nelerdir?|farklılıklar|yapısal
Atmosferdeki gazların bitkilerin büyümesine etkisi nedir?|etkisi|
Atmosferdeki oksijenin azalması insan yaşamını nasıl etkiler?|etkiler|
Ayçiçeğinin Güneş'e yönelmesiyle akşamsefası çiçeklerinin gündüz kapanıp gece açılması hareketlerinin arasındaki fark nedir?|fark|
Aynı popülasyonda yer alan iki canlı türünün benzer özellikleri nedir?|özellikleri|benzer
Ayrılamama olayına bağlı olarak oluşan kalıtsal hastalıklar nelerdir?|hastalıklar|
Ayrıştırıcı olan bakterilerin görevi nedir?|görevi|
Ayrıştırıcıların ekosistemdeki görevi nedir?|görevi|
Ayrıştırıcların madde döngülerindeki önemi nedir?|önemi|
Azot döngüsünde görev alan bakteriler hangileridir?|bakteriler|
B vitamini eksikliğinde görülen hastalık nedir?|hastalık|
B vitaminin görevi nedir?|görevi|
Bakteriler olmasaydı ne olurdu?|olurdu|
Bakteriler vücut içerisinde nasıl çoğalır?|çoğalır|
Bakterilerde üreme nasıl gerçekleşir?|gerçekleşir|
Bakterilerdeki hangi molekül genetik bilgiyi taşır?|molekül|
