İnsanların üzerinde yaşadığı taş küre’nin özellikleri nelerdir|||||
Taş küreyi çepeçevre saran hava küre’nin görevleri nelerdir|||||
Su küre’nin özellikleri nelerdir|||||
Kıyıya paralel uzanan dağlar, o yörede iklimi nasıl etkiler|||||
Kıyıya dik uzanan dağlar o yörede iklimi nasıl etkiler|||||
Toprak erozyonu tarımı nasıl etkiler|||||
Ağaçlandırmanın, toprak erozyonu üzerinde nasıl etkileri vardır|||||
Yapay yağmur sistemlerinin tarım üzerine nasıl etkileri olmuştur|||||
Barajların görevleri nelerdir|||||
Depremler ve tsunami arasında nasıl bir ilişki vardır|||||
Ekonomik faaliyetler, doğal sistemler içinde nasıl bir yer tutar|||||
Doğanın insan yaşamı üzerine etkileri nasıldır|||||
Harita yapımında kullanılan temel prensipler nelerdir|||||
CBS, coğrafya bilimine nasıl katkı sağlamaktadır|||||
Haritaların ölçeklerine göre gruplandırılması nasıl kolaylıklar sağlar|||||
Fiziki haritalarda dağların yüksekliği incelenirken nelere dikkat edilmelidir|||||
Fiziki haritalarda denizlerin ve okyanusların derinliği incelenirken nelere dikkat edilmelidir|||||
Renklendirme yöntemi ile oluşturulan fiziki haritalarda renkler ne şekilde belirlenmiştir|||||
Harita anahtarı(lejant) ne gibi kolaylıklar sağlar|||||
Adres sistemi ile coğrafi koordinatlar nasıl benzeşmektedir|||||
Paralel dairelerinin özellikleri nelerdir|||||
Meridyenler arası uzaklık neden kutuplara doğru gittikçe azalır|||||
Enlem ve boylamların yerleşim üzerinde nasıl etkileri vardır|||||
Yerel saat farkı nasıl oluşur|||||
Uluslararası saat dilimleri nasıl oluşturulmuştur|||||
Dünyanın şeklinin geoid olduğu nasıl kanıtlanmıştır|||||
Dünyanın şeklinin geoid olduğu kanıtlanmadan önce dünyanın nasıl bir şekli olduğuna inanılıyordu|||||
Ekvatordan kutuplara doğru gidildikçe güneş ışınlarının düşme açısı neden küçülmektedir|||||
Ekvatordan kutuplara gidildikçe sıcaklığın azalması nasıl açıklanabilir|||||
Ekvatorun özellikleri nelerdir|||||
Dünyanın kendi etrafında dönüşü nelere yol açar|||||
Dünyanın güneş etrafında dönüşü nelere yol açar|||||
