Geography Factoid Questions||||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer|
1. İzmir İktisat kongresi ne zaman yapılmıştır?|zaman yapılmıştır||TEMPORAL|DATE|1923|
1907 yılında Çin'de meydana gelen kuraklık sonucu kaç kişi açlıktan etkilenmiştir?|kişi||NUMERIC|SIZE.POPULATION|24 Milyon|
1950 yılında Dünya genelinde kişi başına düşen milli gelir ne kadardır?|milli gelir kadardır||NUMERIC|MONEY|1,671$|
1950-2010 yılları arasında nüfus en fazla hangi kıtalarda toplanmıştır?|kıtalarda||LOCATION|CONTINENT|Asya ve Avrupa|
1950-2010 yılları arasında nüfusun artışındaki değişikliklerin en önemli sebebi nedir?|sebebi|en önemli|DESCRIPTION|REASON|İnsanların yaşam düzeylerinin yükselmesi|
1955 yılında 5500 kişinin öldüğü deprem nerede gerçekleşmiştir?|gerçekleşmiştir||LOCATION|LOCATION|Kobe şehrinde|
1960 yılında Dünya üzerinde yaklaşık kaç kişi şehirlerde yaşıyordu?|kişi|yaklaşık|NUMERIC|SIZE.POPULATION|1 Milyar/1000000000/1.000.000.000|
1965-1967 yılları arasında Hindistan'da hüküm süren kuraklık sonucu kaç kişi hayatını kaybetmiştir?|kişi||NUMERIC|COUNT|1.5 Milyon/1500000/1.500.000|
1972 yılındaki Dünya Doğal ve Kültürel Mirası Koruma Konvansiyonu kaç maddeden oluşur?|maddeden||NUMERIC|COUNT|38|
2006 yılında Dünyadaki toplam turist sayısı ne kadar olarak hesaplanmıştır?|kadar olarak||NUMERIC|SIZE.POPULATION|842 Milyon/842000000/842.000.000|
2007 yılına kadar yapılan nüfus sayımlarında hangi yasak uygulanmıştır?|yasak||ENTITY|OTHERS|Sokağa çıkma yasağı|
2010 yılı verilerine göre ülkemizdeki otoyol uzunluğu ne kadardır?|otoyol uzunluğu kadardır||NUMERIC|SIZE.LENGTH|2080 km|
2010 yılına göre dünyadaki nüfus artış oranı kaçtır?|nüfus artış oranı||NUMERIC|PERCENTAGE|11.40%|
23 Eylül, Kuzey yarım kürede hangi mevsimin başlangıcıdır?|mevsimin||TEMPORAL|SEASON|Sonbahar|
230-271 güney enlemin diğer adı nedir?|adı|diğer|ENTITY|OTHERS|Oğlak dönencesi|
230-271 kuzey enleminin özel adı nedir?|adı|özel|ENTITY|OTHERS|Yengeç dönencesi|
3. ve 4. Jeolojik zamanda oluşmuş, günümüzde yetişmesi imkansız bitkilere ne denir?|bitkilere denir||DESCRIPTION|DEFINITION|Relikt|
900 güney paralelinin özel adı nedir?|adı|özel|ENTITY|OTHERS|Güney kutup noktası|
ABD ikinci dünya savaşında hangi şehirlere atom bombası atmıştır?|şehirlere||LOCATION|CITY|Hiroşima Nagazaki|
ABD kaç eyaletten oluşmaktadır?|eyaletten||NUMERIC|COUNT|50|
ABD Ulusal parkı hangi birlik tarafından koruma altına alınmıştır?|birlik||ENTITY|OTHERS|UNESCO|
ABD'nin baş şehri neresidir?|baş şehri||LOCATION|CAPITAL|Washington|
Adana sınırları içinde bulunan dağ geçidinin adı nedir?|dağ geçidinin adı||ENTITY|OTHERS|Gülek|
Adana'nın kaç ilçesi vardır?|ilçesi||NUMERIC|COUNT|15|
Afrika demir yollarının gelişiminde hangi Avrupa devletinin desteği büyüktür?|Avrupa devletinin||LOCATION|COUNTRY|Fransa|
Ağaç malzeme kullanılarak ya da ağaçların üst üste konulmasıyla yapılan meskenlere ne denir?|meskenlere denir||DESCRIPTION|DEFINITION|Ahşap meskenler|
Ağaçlar yapraklarının özelliklerine göre kaça ayrılırlar?|ağaçlar ayrılırlar||NUMERIC|COUNT|2|
Ağaçların bulunmadığı kurak bölgelerde en çok hangi yapı malzemesi kullanılır?|yapı malzemesi||ENTITY|OTHERS|Kerpiç|
Ağaçların ve taşların yosun tutan tarafı hangi yönü gösterir?|yönü||ENTITY|OTHERS|Kuzey|
AGİT hangi yıl çalışmalarına başlamıştır?|yıl||TEMPORAL|DATE|1973|
AGİT'in açılımı nedir?|açılımı||ABBREVIATION|EXPRESSION|Avrupa güvenlik ve işbirliği teşkilatı|
Ağrı Dağı hangi tür volkanlardandır?|tür volkanlardandır||ENTITY|ENTITY||
Ağrı dağının yüksekliği yaklaşık kaç metredir?|metredir|yaklaşık|NUMERIC|SIZE.HEIGHT|5100 m|
Akarsu aşındırması sonucunda meydana gelen deniz seviyesine yakın, hafif dalgalı düzlüklere ne denir?|düzlüklere denir|hafif dalgalı|DESCRIPTION|DEFINITION|Yontukdüz/Peneplen|
Akarsularımızın taşımaya elverişli olmamasının temel sebebi nedir?|sebebi|temel|DESCRIPTION|REASON|Denge profilleri|
Akarsuların bitki ve hayvan türleri bakımından en zengin kısmı neresidir?|kısmı|en zengin|||Ağız kısmı|
Akarsuların taşıdıkları malzeme ile kendi önlerini kapatmaları sonucu oluşan göllere ne ad verilir?|göllere ad||DESCRIPTION|DEFINITION|Set gölleri|
Akarsuların taşıyarak oluşturdukları topraklara ne ad verilir?|topraklara ad||DESCRIPTION|DEFINITION|Alüvyal Topraklar.|
Akarsuların taşıyıp biriktirdiği malzemelerden oluşan toprağa ne denir?|toprağa denir||DESCRIPTION|DEFINITION|Alüvyal toprak|
Akarsuyun denize döküldüğü yere ne denir?|yere denir||DESCRIPTION|DEFINITION|Akarsu ağzı|
Akarsuyun doğduğu yere ne ad verilir?|yere ad||DESCRIPTION|DEFINITION|Akarsu kaynağı|
Akdeniz bölgesinin doğal bitki örtüsü nedir?|bitki örtüsü|doğal|ENTITY|OTHERS|Maki|
Akdeniz ile Hint okyanusu arasındaki ticaret yollarını kısaltmayı sağlayan kanal hangisidir?|kanal||ENTITY|RIVER|Süveyş Kanalı|
Akım rejimleri yıl içinde birden çok kez değişen akarsulara ne denir?|akarsulara denir||DESCRIPTION|DEFINITION|Karma rejimli akarsular|
AKOM'un açılımı nedir?|açılımı||ABBREVIATION|EXPRESSION|Afet koordinasyon merkezi|
Alize rüzgarları neye sebep olur?|sebep olur||DESCRIPTION|EFFECT|sıcak okyanus akıntılarına|
Alize rüzgarlarının da etkisiyle oluşan sıcak okyanus akıntısının adı nedir?|okyanus akıntısının adı|sıcak|ENTITY|STREAM|Brezilya|
Almanya kalkınma politikası sebebiyle hangi yıllar arası işçi alımı yapmıştır?|yıllar arası||TEMPORAL|PERIOD|1952-1954|
Almanya'da yaşayan Türk sayısı yaklaşık ne kadardır?|Türk sayısı kadardır|yaklaşık|NUMERIC|SIZE.POPULATION|3 Milyon/3000000/3.000.000|
Alp-Himalaya kuşağında dünyadaki depremlerin yüzde kaçı meydana gelir?|depremlerin yüzde||NUMERIC|PERCENTAGE|0.25/%25/25%|
Alpin çayırlarda ne çeşit hayvancılık yapılır?|çeşit hayvancılık||ENTITY|OTHERS|Büyükbaş|
Amazon ormanlarının yayılım alanı ne kadardır?|yayılım alanı kadardır||NUMERIC|SIZE.AREA|4.2 milyon km2|
Amerika birleşik devletlerinin doğu kıyılarının fazla göç almasının temel sebebi nedir?|sebebi|temel|DESCRIPTION|REASON|Liman ticareti|
Amerika kıtasına olan göçlerde, kayıtlara göre ortalama kaç insan yer değiştirmiştir?|insan||NUMERIC|SIZE.POPULATION|60 milyon/60000000/60.000.000|
Amerika kıtasını kim keşfetmiştir?|keşfetmiştir||HUMAN|INDIVIDUAL|Kristof Kolomb|
Amerikaya olan göçler hangi yüzyılda hız kazanmıştır?|yüzyılda||TEMPORAL|CENTURY|19. yy|
Anadolu topraklarındaki madencilik ne zaman başlamıştır?|zaman başlamıştır||TEMPORAL|DATE|M.Ö. 7000|
Ankara'nın yaklaşık nüfusu kaçtır?|nüfusu|yaklaşık|NUMERIC|SIZE.POPULATION|4600000|
Antarktika Kıtasında yerleşik hayatın olmamasının en büyük sebebi nedir?|sebebi|en büyük|DESCRIPTION|REASON|İklim koşulları|
Antik çağın en ünlü deniz feneri hangisidir?|deniz feneri|en ünlü|DESCRIPTION|DEFINITION|İskenderiye Feneri|
Anzer balı hangi ilimize özgüdür?|ilimize||LOCATION|CITY|Rize|
Ardahan hangi yıl il yapılmıştır?|yıl||TEMPORAL|DATE|1924|
Artemis Tapınağı nerede kurulmuştur?|kurulmuştur||LOCATION|LOCATION|Efes|
Artvin hangi yıl il yapılmıştır?|yıl||TEMPORAL|DATE|1924|
Astenosfer adı verilen manto katmanın derinliği kaç km. aralığında yer alır?|km.||NUMERIC|RANGE||
Asya kıtasındaki nüfus artışının temel nedeni nedir?|nedeni|temel|DESCRIPTION|REASON|Doğum oranının fazla olması|
Atatürk baraj gölünün büyüklüğü ne kadardır?|büyüklüğü kadardır||NUMERIC|SIZE.AREA|817 km2|
Atatürk Barajı hangi nehir üzerinde kurulmuştur?|nehir||ENTITY|RIVER|Fırat|
Atmosferde toz, duman ve gaz gibi maddelerin insan ve diğer canlılara zarar verecek kadar yükselmesi olayına ne denir?|yükselmesi olayına denir||DESCRIPTION|DEFINITION|Hava kirliliği|
Atmosferdeki Azot toplam gaz miktarının yüzde kaçını oluşturur?|toplam gaz miktarının yüzde||NUMERIC|PERCENTAGE|78%|
Atmosfere verilen gazların sera etkisi yaratması sonucunda, atmosferin ve okyanusların ortalama sıcaklıklarının artmasına ne denir?|okyanusların ortalama sıcaklıklarının artmasına denir||DESCRIPTION|DEFINITION|Küresel ısınma|
Atmosferin en alt katmanında hangi tabaka vardır?|tabaka||ENTITY|OTHERS|Troposfer|
Avrupa Birliği ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|25 mart 1957|
Avrupa'da endemik bitki sayısı toplamı ne kadardır?|bitki sayısı toplamı kadardır|endemik|NUMERIC|COUNT|2750|
Avustralya mercan resiflerinin uzunluğu ne kadardır?|uzunluğu kadardır||NUMERIC|SIZE.LENGTH|2000km|
Ayasofya günümüzde ne olarak hizmet vermektedir?|olarak hizmet vermektedir||DESCRIPTION|REASON|Müze|
