Bitkilerde aynı görevi yapmak üzere özelleşmiş hücre topluluklarına ne ad verilmektedir|||||doku 
Bitkilerin toprak üstü organ sistemine ne ad verilmektedir|||||sürgün sistemi 
Bitkilerin toprak altı organ sistemine ne ad verilmektedir|||||kök sistemi   
Bitkilerin büyüme bölgelerinde bulunan ve sürekli bölünebilme (canlı oldukları sürece mitozla bölünebilme) yeteneğine sahip hücrelerden oluşan bitkisel doku nedir|||||meristem doku  
Bitkilerde kök ve gövdenin büyüme noktalarında bulunan, bitkinin boyuna büyümesinde rol oynayan meristem dokuya ne ad verilmektedir|||||uç (apikal) meristem  
Bitkilerde kök ve gövdenin yapısında bulunan, bitkinin enine büyümesi ve kalınlaşmasını sağlayan meristem dokuya ne ad verilmektedir|||||yanal (lateral) meristem  
Kökenlerine göre türlerine ayrılan, embriyonik dönemden beri bölünme yeteneklerini kaybetmemiş olan hücrelerden oluşan meristem dokuya ne ad verilmektedir|||||primer (birincil) meristem  
Kökenlerine göre türlerine ayrılan, bölünme yeteneğini kaybetmiş parankima hücrelerinin sonradan bölünme yeteneği kazanması ile meydana gelen meristem dokuya ne ad verilmektedir|||||sekonder (ikincil) meristem
Bitkinin her organında bulunan, temel yapısını oluşturan ve bitkilerin çevre koşullarına uyumunu sağlamak için her türlü değişime uğrayabilen temel doku hücresi nedir|||||parankima hücreleri
Bitkinin özellikle genç gövdelerinde, yaprağın orta damarında, çiçek ve yaprak saplarında bulunan; eğilme, bükülme ve çarpmaya karşı bitkiye mekanik destek sağlayan, çeperi kalınlaşmış hücrelerden oluşan temel doku hücresi nedir|||||kollenkima hücreleri  
Hücre çeperleri selüloz, lignin gibi maddelerin birikimi ile kalınlaşan, kalınlaştıkça madde alış verişinin durduğu ve hücrenin öldüğü temel doku hücresi nedir|||||sklerenkima hücreleri  
Kökten emici tüylerle alınan su ve suda çözünmüş minerallerin bitkinin gövde ve yapraklarına taşınmasını sağlayan ve bitkinin iletim dokusunda bulunan bölüme ne ad verilmektedir|||||ksilem
Yapraklarda fotosentezle üretilen ve köklerden alınan organik maddelerin bitkinin diğer kısımlarına iletilmesinden sorumlu bitkinin iletim dokusunda bulunan bölüme ne ad verilmektedir|||||floem
Örtü dokuda bulunan, tek sıralı hücrelerden oluşan ve hücreler arası boşluklar bulunmayan, bitkinin tüm yüzeyini kaplayan en dış tabakaya ne ad verilmektedir|||||epidermis
Yaprak ve gövde epidermis hücrelerinin farklılaşmasıyla oluşan, bitkinin çevreyle gaz alış verişini sağlayan hücre hangisidir|||||stoma
Çok yıllık bitkilerde kök ve gövdedeki kalınlaşma nedeniyle parçalanan ve bitkiyi koruyamaz hale gelen epidermisin yerine, bitkiyi koruması için hangi örtü doku oluşmaktadır|||||peridermis 
Bitkinin toprağa bağlanmasını, su ve minerallerin alınmasını, besin maddelerin depolanmasını, hormonların ve bazı kimyasal bileşiklerin sentezlenmesi, gövdenin desteklenmesi ve oksijen alınmasını sağlayan organı nedir|||||kök
Gövdenin kökle birleştiği yerde hemen hemen aynı uzunlukta çok sayıda yan kökün bulunduğu, ana kökün fazla gelişmediği kök çeşidi hangisidir|||||saçak kök  
Ana kökün kalınlaşarak ve toprağın içine doğru uzayarak iyi geliştiği, yan köklerin ise az geliştiği kök çeşidi hangisidir|||||kazık kök  
Otsu gövde yapısına sahip, enine kesiti alındığında en dışta epidermis dokusunun bulunduğu, parankima dokusunun içinde floem ve ksilemlerin bulunduğu otsu bitki nedir|||||tek çenekli otsu bitki  
Otsu gövde yapısına sahip, enine kesiti alındığında en dışta epidermis dokusunun bulunduğu, parankima dokusunun içinde floem ve ksilemlerin bulunduğu, ayrıca korteks tabakası, kambiyum ve özün bulunduğu otsu bitki nedir|||||çift çenekli otsu bitki  
Mantar kambiyumu, hangi gövde yapısına sahip bitkilerde epidermisin yerine bulunmaktadır|||||odunsu gövdeli bitkiler  
Fotosentezin yoğun olarak gerçekleştiği, gaz alış verişinin yapıldığı, yaprağın yassılaşmış, ince ve yeşil kısmına ne ad verilmektedir|||||yaprak ayası  
Yaprak ayasını gövdeye bağlayan ve yaprak ayasının ışıktan verimli şekilde yararlanmasını sağlayan yapı nedir|||||yaprak sapı  
Yaprağın en dış tabakasında bulunan epidermis dokusunu örten, bitkinin su kaybını önleyen bu sebeple suda ve su kenarlarında yaşayan bitkilerde ince, kurak bölge bitkilerinde ise kalın olan, yaprağın daha alt tabakalarını ışığın girmesini engellemeyen tabakaya ne ad verilmektedir|||||kütikula tabakası  
Kökten yapraklara kadar uzanan ksilem ve floem borularından meydana gelen, bitkilerde su ve minerallerin taşınmasını sağlayan doku nedir|||||iletim doku  
Bitkilerin köklerinde topraktan su ve suda çözünmüş minerallerin alınmasını sağlayan yapıya ne ad verilir|||||emici tüyler  
Topraktan alınan suyun bitkinin diğer kısımlarına taşınmasını sağlayan yapıya ne ad verilmektedir|||||ksilem
Yaprak yüzeyi geniş olan bitkilerde terleme yoluyla kaybedilen su miktarı daha fazla olması, kökteki su emilim hızının yavaş mı yoksa hızlı mı olmasına sebep olur|||||hızlı
Derin kök sistemine sahip bitkilerde ve boyu 100-150 metreye kadar çıkabilen büyük ağaçlarda suyun taşınmasında etkili olan, ksilemin su almasını sağlayan itici kuvvet nedir|||||kök basıncı 
Topraktaki su miktarının ve havanın neminin yüksek, bitkide terlemenin düşük olduğu zamanlarda köklerden giren suyun, kök basıncının etkisiyle yapraklardaki hidatotlardan su damlaları halinde dışarıya atıldığı olaya ne denir|||||damlama (gutasyon)
Suyun köklerden bitkinin en üst kısımlarına kadar taşınmasında etkili olan, su moleküllerinin dar çaplı ksilem çeperine tutunma özelliğini kullanarak daha yükseklere çıkarılmasını sağlayan faktör nedir|||||kılcallık
Bitkilerde suyun yükseklere taşınmasında geçerliliği en çok kabul edilen kuram nedir|||||terleme-çekim teorisi  
Su moleküllerinin ksilemde taşınırken birbirine ve ksilem çeperlerine hidrojen bağlarıyla birbirine tutunmasına ne ad verilmektedir|||||kohezyon
Bitkilerde hem CO2, O2 gibi gazların alışverişini sağlayan, hem de terlemeyle su buharının atılmasını sağlayan yapı nedir|||||stoma
Stomalar, çok nemli ve sulak alanlarda yaşayan bitkilerde genellikle yaprağın neresinde bulunur|||||üst epidermis  
Stomalar, kurak alanlarda yaşayan bitkilerde genellikle yaprağın neresinde bulunur|||||alt epidermis  
Bitkilerde fotosentezle üretilen organik ürünler bitkinin bütün organlarına hangi yapı ile taşınmaktadır|||||floem
Floemde taşımanın iki yönlü olmasını, fotosentez sonucu glikoz, amino asit gibi organik moleküllerin yapraklardan köke doğru taşınmasını; köklerde sentezlenen amino asit ve diğer azotlu organik moleküllerin de kökten yapraklara doğru taşınmasını açıklayan teori nedir|||||basınç-akış teorisi
Basınç-akış teorisine göre, sıvı basıncının yüksek olduğu yerden düşük olduğu yere doğru organik moleküller hangi yapı ile taşınır|||||floem
Bitkilerin fazla miktarda ihtiyaç duyduğu azot, potasyum, karbon, kalsiyum, hidrojen, magnezyum, fosfor, kükürt, silisyum gibi besin tuzlarını oluşturan elementlere ne ad verilmektedir|||||makro element  
Bitkilerin çok az gereksinim duyduğu klor, demir, bor, mangan, sodyum, çinko, bakır, nikel, molibden gibi besin tuzlarını oluşturan elementlere ne ad verilmektedir|||||mikro element  
Bitkilerin en fazla ihtiyaç duyduğu makro element nedir|||||azot
Ozmotik basıncın düzenlenmesinde ve bazı enzimlerin aktifleştirilmesinde rol oynayan makro element nedir|||||potasyum
Bitki hücrelerinde solunum ve fotosentezde görevli enzimlerin aktifleştirilmesinde rol oynayan makro element nedir|||||magnezyum
Hangi makro elementin eksikliğinde bitkilerde protein sentezi engellenir|||||magnezyum
Bitkilerin beslenmesinde bazı elementlerin gerekli olduğunu belirtmek amacıyla Liebig (Libig) tarafından ilk kez 1840 yılında ortaya atılan yasa nedir|||||minimum yasası  
Bitkilerde yeterli büyüme ve gelişme sağlanması için bitki beslenmesinde gerekli olan elementleri içeren doğal ya da yapay maddeye ne denir|||||gübre
Canlı bitki kökleri ile mantar hiflerinin, topraktan su ve minerallerin emilmesi amacıyla aralarında oluşturdukları mutualist birliğe ne ad verilmektedir|||||mikoriza
Bitkilerde büyümenin gerçekleşebilmesi için gerekli olan fotosentez ve solunumda rol oynayan çevresel faktör nedir|||||sıcaklık
Bitkilerde fotosentez, klorofil sentezi, stomanın açılması, terleme gibi fizyolojik olayların gerçekleşmesi için gerekli çevresel faktör nedir|||||ışık
Bitkilerin gelişmesinde rol oynayan oksin, giberelin vb. hormonların bitkideki dağılımını etkileyen, bitkinin kökünün toprak içine doğru; gövdesinin ise aksi yönde büyümesini sağlayan çevresel faktör nedir|||||yer çekimi  
Bitkilerde hücre bölünmesini hızlandıran, bitkinin ışığa yönelmesini sağlayan bitkisel hormon nedir|||||oksin
Bitkilerin çevreden gelen uyaranın yönüne bağlı olarak gerçekleştiği tepkiye ne ad verilmektedir|||||tropizma
